#Calculation provided for various boron concentraiton for total burnup of 25 MWd/kg 
#The goal is to find critical boron concentration for every burnup step

#2550B
#BU-step	reactivity (pcm)			reactivity-err (pcm)
0.00    -197.28846097966883             17.06714424538571
0.10    -2881.822736677062              17.99393806435577
1.00    -3603.2162582455217             18.247164912389742
2.00    -4058.380914028001              18.40784928536321
3.00    -4560.729917543414              18.58600860951208
5.00    -5785.179919434003              19.023857293997942
7.00    -7293.374419542849              19.57017593036476
9.00    -8899.48359864877               21.346375550494272
11.00   -10581.303797804296             20.787982074357892
13.00   -12337.335538140776             22.715418520455888
15.00   -14003.506747867565             25.99359910162217
17.00   -15670.321077677247             24.083321720783303
19.00   -17353.53691824917              26.166519991723458
21.00   -19028.772825255048             26.91891264454373
23.00   -20715.067775474796             27.6870424172712
25.00   -22406.212360089696             26.96990548381808
#2300B
#BU-step	reactivity (pcm)			reactivity-err (pcm)
0.00    1790.3617060978333              16.396726191492462
0.10    -949.6331995077751              17.324408353295777
1.00    -1677.888516295917              17.575268122324914
2.00    -2110.7309188229897             17.725222326919667
3.00    -2691.0181300992544             17.927256847813837
5.00    -3922.1249164725946             17.279692875447896
7.00    -5394.5127400887                18.883605636725225
9.00    -7050.7934604811335             19.481783046881606
11.00   -8735.955392161659              20.09996359157849
13.00   -10385.266657688664             20.714342061651358
15.00   -12118.307237797322             22.626926672164405
17.00   -13746.879070005521             23.28903449669963
19.00   -15414.667588445143             23.976981890192324
21.00   -17114.53215672267              26.060045920347253
23.00   -18743.691741376246             26.790122223904874
25.00   -20377.069131347034             27.532213668040896
#2000B
#BU-step	reactivity (pcm)			reactivity-err (pcm)
0.00    4208.136560880521               15.599337871936156
0.10    1504.0334098318572              15.522328695250431
1.00    706.966399237431                16.760481086791682
2.00    173.69776588736346              15.944464988378243
3.00    -392.4340246021751              16.12582529501456
5.00    -1646.3661932317768             17.564372392490572
7.00    -3158.2943394980703             18.090777274758686
9.00    -4791.595714023737              17.570045651666238
11.00   -6415.809132604734              19.251351536689835
13.00   -8110.796268447751              19.86950525865629
15.00   -9784.065721133104              21.694573955271736
17.00   -11391.570331523588             22.33454749366098
19.00   -13038.799437518936             22.999986320896134
21.00   -14685.080503192263             23.674801842042644
23.00   -16305.03554281886              25.70103645597108
25.00   -17926.336134869987             26.422579432969254
#1700B
#BU-step	reactivity (pcm)			reactivity-err (pcm)
0.00    6645.008308594262               14.81576260529414
0.10    3868.33807582866                15.710203921315397
